mass,damping,speed,scale,group,value,end_time,stop,theta_peak,r_peak,chi_peak,near_zero,final_theta,final_r,final_chi,force_peak,torque_peak
2.3,6.5,1,1,chi,5,30,0,0.291137374692724,0.00264582962313753,5.00055492906695,1,-1.21443867190251e-07,-1.35118900878381e-09,0.000103758897491934,0.0756469818892424,4.13603484521758e-05
2.3,6.5,1,1,chi,10,30,0,0.58639713325224,0.00532841506956818,10.0011098581255,1,-8.90996608674673e-07,-1.00488110699583e-08,0.000816229720703423,0.152404118369959,0.000168017055772602
2.3,6.5,1,2,r,0.001,30,0,0.574822554191335,0.00571006462311702,1.99803535646837,1,2.31896171082102e-06,3.47778374355256e-08,-0.000339275251787351,0.182724694758423,0.000155014932800403
2.3,6.5,1,2,r,0.005,30,0,2.90919014036338,0.0288226897423501,10.6151310489493,1,0.000291072653568524,4.36526300124888e-06,-0.0425853326757831,0.913623473792117,0.00397889296022902
2.3,6.5,1,2,r,0.01,30,0,6.11988193035139,0.0599118918827375,27.6663635762524,0,0.00257973692666419,3.86887421236683e-05,-0.377428345182822,1.82724694758423,0.0177262456367085
2.3,6.5,1,2,chi,1,30,0,0.118374887625644,0.00109780147289904,1.00167031979392,1,-8.83735949033051e-09,-1.32535285068773e-10,1.29294819517518e-06,0.0300132826660257,7.04219254334288e-06
2.3,6.5,1,2,chi,5,30,0,0.592935594962138,0.00549859210784344,5.00835159401996,1,-1.11796164725479e-06,-1.6766248572525e-08,0.000163563166536816,0.150396965045258,0.000177266891074839
2.3,6.5,1,2,chi,10,30,0,1.19268164915899,0.0110590208599994,10.0167031571049,1,-9.29056098093948e-06,-1.39332021140854e-07,0.00135925378414619,0.302922737699943,0.000724603974946463
2.3,6.5,1,4,r,0.001,30,0,0.249661561413292,0.00289039897712905,0.397346192222637,1,2.32485647172122e-07,3.48662420635296e-09,-2.91006171619235e-06,0.686953503743059,2.26137064410023e-05
2.3,6.5,1,4,r,0.005,30,0,1.24862459421266,0.0144545329075624,1.99233543196993,1,2.90092514431329e-05,4.35056355184968e-07,-0.000363113650546493,3.43476751871529,0.000565796879553824
2.3,6.5,1,4,r,0.01,30,0,2.49915892628696,0.0289242051310019,4.0210012244359,1,0.000230894545966306,3.46276220891375e-06,-0.00289014563703632,6.86953503743059,0.00227015715937449
2.3,6.5,1,4,chi,1,30,0,0.254830833660801,0.00254995797104384,1.01658157050851,1,-9.14326535948959e-09,-1.37123004001744e-10,1.14447781217239e-07,0.253030568889359,3.00233332059706e-05
2.3,6.5,1,4,chi,5,30,0,1.27727796375256,0.0127795127553699,5.08290168238612,1,-1.32875167930822e-06,-1.99275001525235e-08,1.66322069329783e-05,1.26515284444679,0.000754730057388393
2.3,6.5,1,4,chi,10,30,0,2.57541066725623,0.0257579120392158,10.1657648127412,1,-1.56313985584135e-05,-2.34426568970265e-07,0.000195660829344982,2.53030568889359,0.00307192258270276
2.3,6.5,1,8,r,0.001,30,0,0.221132245140514,0.00308554798067591,0.149123477941772,1,2.29412289498064e-07,3.44053257277451e-09,-1.83233245353564e-07,3.91959144652322,1.05829563860268e-05
2.3,6.5,1,8,r,0.005,30,0,1.10453312555591,0.0154090565713172,0.745965471372229,1,2.86209986143793e-05,4.29233665788249e-07,-2.2859797410407e-05,19.5979572326161,0.000264286501472574
2.3,6.5,1,8,r,0.01,30,0,2.2021281828869,0.0307032255148331,1.49399803312339,1,0.00022763997209562,3.41395284698415e-06,-0.000181817682708929,39.1959144652322,0.00105368336027105
2.3,6.5,1,8,chi,1,30,0,0.665150719974805,0.00814450033135892,1.10814169304674,1,4.4775296873673e-06,6.71502244655633e-08,-3.57623515976009e-06,8.09697820445948,0.000155064950334868
2.3,6.5,1,8,chi,5,30,0,3.34354168275132,0.0408012861561265,5.53747351402445,1,0.00054906298468,8.23438486008271e-06,-0.00043854055437497,40.4848910222974,0.00396306499548566
2.3,6.5,1,8,chi,10,30,0,6.84817720674897,0.0828287249377509,11.0560763590758,1,0.00406554066310621,6.09715596824254e-05,-0.00324717661314954,80.9697820445948,0.0170191396591539
2.3,6.5,1,16,r,0.001,30,0,0.409175168904437,0.00678916824033797,0.120002039153283,1,9.14128490039502e-07,1.37093302741682e-08,1.98270535705754e-07,36.3017065271098,2.28125140263742e-05
2.3,6.5,1,16,r,0.005,30,0,1.99048185808574,0.0329296808568016,0.601097953731823,1,0.000113734778449767,1.70569855159181e-06,2.46685840087374e-05,181.508532635549,0.000566887522991437
2.3,6.5,1,16,r,0.01,30,0,3.73292999342989,0.0613085646645299,1.20653124133033,1,0.000903875883743405,1.35555703089229e-05,0.000196046789362705,363.017065271098,0.0022482145946434
2.3,6.5,1,16,chi,1,30,0,2.61338613270155,0.041712305005618,1.51805108950881,1,0.000351609304567126,5.27314063215875e-06,7.62625450653285e-05,259.103302542703,0.00173853679963242
2.3,6.5,1,16,chi,5,30,0,13.2896402578146,0.202130158707524,7.15778867591251,1,0.00510500376529306,7.65605531572383e-05,0.00110725331985573,1295.51651271352,0.0470180306372057
2.3,6.5,1,16,chi,10,0.794617130833666,2,30.191829128349,0.5,13.3684261835638,0,30.1238594516503,0.5,-3.85297357086448,2591.03302542703,0.126610756976328
